inputIp,note,inetnum,netname,descr,country,adminC,techC,status,mntBy,created,lastModified,source,person,remarks,address,phone,nicHdl,route,origin,yResultLabel,org,geoloc,organisation,orgName,orgType,abuseC,mntRef,role,abuseMailbox,faxNo,mntLower,mntRoutes,mntDomains,availableAt,netRange,cidr,netName,netHandle,parent,netType,organization,regDate,updated,ref,orgId,city,stateProv,postalCode,comment,orgNocHandle,orgNocName,orgNocPhone,orgNocEmail,orgNocRef,orgAbuseHandle,orgAbuseName,orgAbusePhone,orgAbuseEmail,orgAbuseRef,orgTechHandle,orgTechName,orgTechPhone,orgTechEmail,orgTechRef,rwhoisV_1_0V_1_5,network,contact,originAs,orgRoutingHandle,orgRoutingName,orgRoutingPhone,orgRoutingEmail,orgRoutingRef,mntIrt,irt,eMail,auth,rwhoisV_1_5,customer,custName,rTechHandle,rTechName,rTechPhone,rTechEmail,rTechRef,rAbuseHandle,rAbuseName,rAbusePhone,rAbuseEmail,rAbuseRef,rnocHandle,rnocName,rnocPhone,rnocEmail,rnocRef,notify,language,orgDnsHandle,orgDnsName,orgDnsPhone,orgDnsEmail,orgDnsRef,referralRwhois,sponsoringOrg,memberOf,seeHttp
83.96.116.0,this output has been filtered.,83.96.96.0 - 83.96.127.255,FASTTELCO-WIMAX,FASTtelco WiMAX Corporate Customers /30 FASTTELCO - Corp Range,KW,MJ6354-RIPE,FNO5-RIPE,ASSIGNED PA,FASTTELCO-MNT MIRZA-JUNAID-MNT FASTTELCO-MNT MIRZA-JUNAID-MNT FASTTELCO-MNT MIRZA-JUNAID-MNT FASTTELCO-MNT MIRZA-JUNAID-MNT,2010-01-05T10:57:04Z 2013-04-18T09:45:49Z 2013-04-10T06:53:21Z 2010-06-23T19:28:52Z,2019-07-03T11:28:39Z 2019-06-30T09:18:45Z 2019-06-30T09:03:26Z 2019-07-03T11:23:50Z,RIPE RIPE # Filtered RIPE # Filtered RIPE,Mirza Junaid Baig Mirza Junaid Baig,FASTtelco Network Operations,"P.O.BOX 287 P.O.Box: 287 , Dasman 15453 ,Kuwait",+96522256623 +96566075201,FNO5-RIPE MJ6354-RIPE,83.96.0.0/17,AS21050,vpn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83.96.118.0,this output has been filtered.,83.96.96.0 - 83.96.127.255,FASTTELCO-WIMAX,FASTtelco WiMAX Corporate Customers /30 FASTTELCO - Corp Range,KW,MJ6354-RIPE,FNO5-RIPE,ASSIGNED PA,FASTTELCO-MNT MIRZA-JUNAID-MNT FASTTELCO-MNT MIRZA-JUNAID-MNT FASTTELCO-MNT MIRZA-JUNAID-MNT FASTTELCO-MNT MIRZA-JUNAID-MNT,2010-01-05T10:57:04Z 2013-04-18T09:45:49Z 2013-04-10T06:53:21Z 2010-06-23T19:28:52Z,2019-07-03T11:28:39Z 2019-06-30T09:18:45Z 2019-06-30T09:03:26Z 2019-07-03T11:23:50Z,RIPE RIPE # Filtered RIPE # Filtered RIPE,Mirza Junaid Baig Mirza Junaid Baig,FASTtelco Network Operations,"P.O.BOX 287 P.O.Box: 287 , Dasman 15453 ,Kuwait",+96522256623 +96566075201,FNO5-RIPE MJ6354-RIPE,83.96.0.0/17,AS21050,vpn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83.97.23.0,this output has been filtered.,83.97.23.0 - 83.97.23.255,M247-LTD-BERLIN,M247 LTD Berlin Infrastructure,DE,GBXS7-RIPE,GBXS7-RIPE,ASSIGNED PA,GLOBALAXS-MNT GLOBALAXS-MNT GLOBALAXS-MNT GLOBALAXS-MNT,2018-06-19T14:35:56Z 2018-05-17T12:42:55Z 2016-05-16T12:47:08Z 2018-06-19T14:36:56Z,2018-11-28T17:05:46Z 2018-05-17T12:42:55Z 2018-05-17T12:41:00Z 2018-06-19T14:36:56Z,RIPE RIPE # Filtered RIPE # Filtered RIPE,,"---- LEGAL CONCERNS ---- For any legal requests, please send an email to ro-legal@m247.com for a maximum 48hours response. ---- LEGAL CONCERNS----","Albert Einstein Ring 17-25 14532, Kleinmachow, Germany Albert Einstein Ring 17-25 14532, Kleinmachow, Germany",,GBXS7-RIPE,83.97.23.0/24,AS9009,vpn,ORG-MLA23-RIPE,52.5200 13.4050,ORG-MLA23-RIPE,M247 Ltd Berlin,OTHER,ME5262-RIPE,GLOBALAXS-MNT,GLOBALAXS BERLIN NOC,abuse@m247.ro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83.97.23.5,this output has been filtered.,83.97.23.0 - 83.97.23.255,M247-LTD-BERLIN,M247 LTD Berlin Infrastructure,DE,GBXS7-RIPE,GBXS7-RIPE,ASSIGNED PA,GLOBALAXS-MNT GLOBALAXS-MNT GLOBALAXS-MNT GLOBALAXS-MNT,2018-06-19T14:35:56Z 2018-05-17T12:42:55Z 2016-05-16T12:47:08Z 2018-06-19T14:36:56Z,2018-11-28T17:05:46Z 2018-05-17T12:42:55Z 2018-05-17T12:41:00Z 2018-06-19T14:36:56Z,RIPE RIPE # Filtered RIPE # Filtered RIPE,,"---- LEGAL CONCERNS ---- For any legal requests, please send an email to ro-legal@m247.com for a maximum 48hours response. ---- LEGAL CONCERNS----","Albert Einstein Ring 17-25 14532, Kleinmachow, Germany Albert Einstein Ring 17-25 14532, Kleinmachow, Germany",,GBXS7-RIPE,83.97.23.0/24,AS9009,vpn,ORG-MLA23-RIPE,52.5200 13.4050,ORG-MLA23-RIPE,M247 Ltd Berlin,OTHER,ME5262-RIPE,GLOBALAXS-MNT,GLOBALAXS BERLIN NOC,abuse@m247.ro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83.97.23.20,this output has been filtered.,83.97.23.0 - 83.97.23.255,M247-LTD-BERLIN,M247 LTD Berlin Infrastructure,DE,GBXS7-RIPE,GBXS7-RIPE,ASSIGNED PA,GLOBALAXS-MNT GLOBALAXS-MNT GLOBALAXS-MNT GLOBALAXS-MNT,2018-06-19T14:35:56Z 2018-05-17T12:42:55Z 2016-05-16T12:47:08Z 2018-06-19T14:36:56Z,2018-11-28T17:05:46Z 2018-05-17T12:42:55Z 2018-05-17T12:41:00Z 2018-06-19T14:36:56Z,RIPE RIPE # Filtered RIPE # Filtered RIPE,,"---- LEGAL CONCERNS ---- For any legal requests, please send an email to ro-legal@m247.com for a maximum 48hours response. ---- LEGAL CONCERNS----","Albert Einstein Ring 17-25 14532, Kleinmachow, Germany Albert Einstein Ring 17-25 14532, Kleinmachow, Germany",,GBXS7-RIPE,83.97.23.0/24,AS9009,vpn,ORG-MLA23-RIPE,52.5200 13.4050,ORG-MLA23-RIPE,M247 Ltd Berlin,OTHER,ME5262-RIPE,GLOBALAXS-MNT,GLOBALAXS BERLIN NOC,abuse@m247.ro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83.97.23.21,this output has been filtered.,83.97.23.0 - 83.97.23.255,M247-LTD-BERLIN,M247 LTD Berlin Infrastructure,DE,GBXS7-RIPE,GBXS7-RIPE,ASSIGNED PA,GLOBALAXS-MNT GLOBALAXS-MNT GLOBALAXS-MNT GLOBALAXS-MNT,2018-06-19T14:35:56Z 2018-05-17T12:42:55Z 2016-05-16T12:47:08Z 2018-06-19T14:36:56Z,2018-11-28T17:05:46Z 2018-05-17T12:42:55Z 2018-05-17T12:41:00Z 2018-06-19T14:36:56Z,RIPE RIPE # Filtered RIPE # Filtered RIPE,,"---- LEGAL CONCERNS ---- For any legal requests, please send an email to ro-legal@m247.com for a maximum 48hours response. ---- LEGAL CONCERNS----","Albert Einstein Ring 17-25 14532, Kleinmachow, Germany Albert Einstein Ring 17-25 14532, Kleinmachow, Germany",,GBXS7-RIPE,83.97.23.0/24,AS9009,vpn,ORG-MLA23-RIPE,52.5200 13.4050,ORG-MLA23-RIPE,M247 Ltd Berlin,OTHER,ME5262-RIPE,GLOBALAXS-MNT,GLOBALAXS BERLIN NOC,abuse@m247.ro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83.97.23.27,this output has been filtered.,83.97.23.0 - 83.97.23.255,M247-LTD-BERLIN,M247 LTD Berlin Infrastructure,DE,GBXS7-RIPE,GBXS7-RIPE,ASSIGNED PA,GLOBALAXS-MNT GLOBALAXS-MNT GLOBALAXS-MNT GLOBALAXS-MNT,2018-06-19T14:35:56Z 2018-05-17T12:42:55Z 2016-05-16T12:47:08Z 2018-06-19T14:36:56Z,2018-11-28T17:05:46Z 2018-05-17T12:42:55Z 2018-05-17T12:41:00Z 2018-06-19T14:36:56Z,RIPE RIPE # Filtered RIPE # Filtered RIPE,,"---- LEGAL CONCERNS ---- For any legal requests, please send an email to ro-legal@m247.com for a maximum 48hours response. ---- LEGAL CONCERNS----","Albert Einstein Ring 17-25 14532, Kleinmachow, Germany Albert Einstein Ring 17-25 14532, Kleinmachow, Germany",,GBXS7-RIPE,83.97.23.0/24,AS9009,vpn,ORG-MLA23-RIPE,52.5200 13.4050,ORG-MLA23-RIPE,M247 Ltd Berlin,OTHER,ME5262-RIPE,GLOBALAXS-MNT,GLOBALAXS BERLIN NOC,abuse@m247.ro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83.97.23.35,this output has been filtered.,83.97.23.0 - 83.97.23.255,M247-LTD-BERLIN,M247 LTD Berlin Infrastructure,DE,GBXS7-RIPE,GBXS7-RIPE,ASSIGNED PA,GLOBALAXS-MNT GLOBALAXS-MNT GLOBALAXS-MNT GLOBALAXS-MNT,2018-06-19T14:35:56Z 2018-05-17T12:42:55Z 2016-05-16T12:47:08Z 2018-06-19T14:36:56Z,2018-11-28T17:05:46Z 2018-05-17T12:42:55Z 2018-05-17T12:41:00Z 2018-06-19T14:36:56Z,RIPE RIPE # Filtered RIPE # Filtered RIPE,,"---- LEGAL CONCERNS ---- For any legal requests, please send an email to ro-legal@m247.com for a maximum 48hours response. ---- LEGAL CONCERNS----","Albert Einstein Ring 17-25 14532, Kleinmachow, Germany Albert Einstein Ring 17-25 14532, Kleinmachow, Germany",,GBXS7-RIPE,83.97.23.0/24,AS9009,vpn,ORG-MLA23-RIPE,52.5200 13.4050,ORG-MLA23-RIPE,M247 Ltd Berlin,OTHER,ME5262-RIPE,GLOBALAXS-MNT,GLOBALAXS BERLIN NOC,abuse@m247.ro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83.97.23.37,this output has been filtered.,83.97.23.0 - 83.97.23.255,M247-LTD-BERLIN,M247 LTD Berlin Infrastructure,DE,GBXS7-RIPE,GBXS7-RIPE,ASSIGNED PA,GLOBALAXS-MNT GLOBALAXS-MNT GLOBALAXS-MNT GLOBALAXS-MNT,2018-06-19T14:35:56Z 2018-05-17T12:42:55Z 2016-05-16T12:47:08Z 2018-06-19T14:36:56Z,2018-11-28T17:05:46Z 2018-05-17T12:42:55Z 2018-05-17T12:41:00Z 2018-06-19T14:36:56Z,RIPE RIPE # Filtered RIPE # Filtered RIPE,,"---- LEGAL CONCERNS ---- For any legal requests, please send an email to ro-legal@m247.com for a maximum 48hours response. ---- LEGAL CONCERNS----","Albert Einstein Ring 17-25 14532, Kleinmachow, Germany Albert Einstein Ring 17-25 14532, Kleinmachow, Germany",,GBXS7-RIPE,83.97.23.0/24,AS9009,vpn,ORG-MLA23-RIPE,52.5200 13.4050,ORG-MLA23-RIPE,M247 Ltd Berlin,OTHER,ME5262-RIPE,GLOBALAXS-MNT,GLOBALAXS BERLIN NOC,abuse@m247.ro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83.97.23.38,this output has been filtered.,83.97.23.0 - 83.97.23.255,M247-LTD-BERLIN,M247 LTD Berlin Infrastructure,DE,GBXS7-RIPE,GBXS7-RIPE,ASSIGNED PA,GLOBALAXS-MNT GLOBALAXS-MNT GLOBALAXS-MNT GLOBALAXS-MNT,2018-06-19T14:35:56Z 2018-05-17T12:42:55Z 2016-05-16T12:47:08Z 2018-06-19T14:36:56Z,2018-11-28T17:05:46Z 2018-05-17T12:42:55Z 2018-05-17T12:41:00Z 2018-06-19T14:36:56Z,RIPE RIPE # Filtered RIPE # Filtered RIPE,,"---- LEGAL CONCERNS ---- For any legal requests, please send an email to ro-legal@m247.com for a maximum 48hours response. ---- LEGAL CONCERNS----","Albert Einstein Ring 17-25 14532, Kleinmachow, Germany Albert Einstein Ring 17-25 14532, Kleinmachow, Germany",,GBXS7-RIPE,83.97.23.0/24,AS9009,vpn,ORG-MLA23-RIPE,52.5200 13.4050,ORG-MLA23-RIPE,M247 Ltd Berlin,OTHER,ME5262-RIPE,GLOBALAXS-MNT,GLOBALAXS BERLIN NOC,abuse@m247.ro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83.97.23.44,this output has been filtered.,83.97.23.0 - 83.97.23.255,M247-LTD-BERLIN,M247 LTD Berlin Infrastructure,DE,GBXS7-RIPE,GBXS7-RIPE,ASSIGNED PA,GLOBALAXS-MNT GLOBALAXS-MNT GLOBALAXS-MNT GLOBALAXS-MNT,2018-06-19T14:35:56Z 2018-05-17T12:42:55Z 2016-05-16T12:47:08Z 2018-06-19T14:36:56Z,2018-11-28T17:05:46Z 2018-05-17T12:42:55Z 2018-05-17T12:41:00Z 2018-06-19T14:36:56Z,RIPE RIPE # Filtered RIPE # Filtered RIPE,,"---- LEGAL CONCERNS ---- For any legal requests, please send an email to ro-legal@m247.com for a maximum 48hours response. ---- LEGAL CONCERNS----","Albert Einstein Ring 17-25 14532, Kleinmachow, Germany Albert Einstein Ring 17-25 14532, Kleinmachow, Germany",,GBXS7-RIPE,83.97.23.0/24,AS9009,vpn,ORG-MLA23-RIPE,52.5200 13.4050,ORG-MLA23-RIPE,M247 Ltd Berlin,OTHER,ME5262-RIPE,GLOBALAXS-MNT,GLOBALAXS BERLIN NOC,abuse@m247.ro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
