inputIp,inetnum,netname,descr,adminC,techC,remarks,country,mntIrt,mntBy,mntLower,status,lastModified,source,irt,address,eMail,abuseMailbox,auth,role,phone,faxNo,nicHdl,yResultLabel,person,changed,note,created,route,origin,org,abuseC,organisation,orgName,orgType,mntRef,geoloc,mntDomains,mntRoutes,availableAt,netRange,cidr,netName,netHandle,parent,netType,organization,regDate,updated,comment,ref,orgId,city,stateProv,postalCode,orgTechHandle,orgTechName,orgTechPhone,orgTechEmail,orgTechRef,orgNocHandle,orgNocName,orgNocPhone,orgNocEmail,orgNocRef,orgRoutingHandle,orgRoutingName,orgRoutingPhone,orgRoutingEmail,orgRoutingRef,orgAbuseHandle,orgAbuseName,orgAbusePhone,orgAbuseEmail,orgAbuseRef,originAs,language,rTechHandle,rTechName,rTechPhone,rTechEmail,rTechRef,rAbuseHandle,rAbuseName,rAbusePhone,rAbuseEmail,rAbuseRef,rnocHandle,rnocName,rnocPhone,rnocEmail,rnocRef,customer,custName,rwhoisV_1_0V_1_5,network,contact,rwhoisV_1_5,seeHttp,notify,referralRwhois,orgDnsHandle,orgDnsName,orgDnsPhone,orgDnsEmail,orgDnsRef
2.58.12.66,2.58.12.0 - 2.58.13.255,NetProtect-Netherlands-Amsterdam,Netprotect abuse@netprotect.com,NA6571-RIPE STRG-RIPE,NA6571-RIPE STRG-RIPE,,NL,,W2O-MNT W2O-MNT W2O-MNT W2O-MNT,,ASSIGNED PA,2020-06-10T03:33:13Z 2020-06-10T03:27:49Z 2020-01-31T02:40:09Z 2020-01-31T02:12:03Z,RIPE RIPE # Filtered RIPE # Filtered RIPE,,"1524 5th Avenue Suite 300 Seattle, WA 98101 Strong Technology, LLC. 1920 McKinney Ave 7th Floor Dallas, TX, 75201 United States",,abuse@netprotect.com,,Netprotect.com Abuse,+1.4154087682,,NA6571-RIPE,vpn,,,this output has been filtered.,2020-02-11T15:29:42Z 2020-06-10T03:27:49Z 2020-01-31T02:39:32Z 2020-01-31T02:11:59Z,2.58.12.0/22,AS12989,ORG-STL132-RIPE,NA6571-RIPE STRG-RIPE,ORG-STL132-RIPE,"Strong Technology, LLC",OTHER,W2O-MNT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.58.12.78,2.58.12.0 - 2.58.13.255,NetProtect-Netherlands-Amsterdam,Netprotect abuse@netprotect.com,NA6571-RIPE STRG-RIPE,NA6571-RIPE STRG-RIPE,,NL,,W2O-MNT W2O-MNT W2O-MNT W2O-MNT,,ASSIGNED PA,2020-06-10T03:33:13Z 2020-06-10T03:27:49Z 2020-01-31T02:40:09Z 2020-01-31T02:12:03Z,RIPE RIPE # Filtered RIPE # Filtered RIPE,,"1524 5th Avenue Suite 300 Seattle, WA 98101 Strong Technology, LLC. 1920 McKinney Ave 7th Floor Dallas, TX, 75201 United States",,abuse@netprotect.com,,Netprotect.com Abuse,+1.4154087682,,NA6571-RIPE,vpn,,,this output has been filtered.,2020-02-11T15:29:42Z 2020-06-10T03:27:49Z 2020-01-31T02:39:32Z 2020-01-31T02:11:59Z,2.58.12.0/22,AS12989,ORG-STL132-RIPE,NA6571-RIPE STRG-RIPE,ORG-STL132-RIPE,"Strong Technology, LLC",OTHER,W2O-MNT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.58.12.84,2.58.12.0 - 2.58.13.255,NetProtect-Netherlands-Amsterdam,Netprotect abuse@netprotect.com,NA6571-RIPE STRG-RIPE,NA6571-RIPE STRG-RIPE,,NL,,W2O-MNT W2O-MNT W2O-MNT W2O-MNT,,ASSIGNED PA,2020-06-10T03:33:13Z 2020-06-10T03:27:49Z 2020-01-31T02:40:09Z 2020-01-31T02:12:03Z,RIPE RIPE # Filtered RIPE # Filtered RIPE,,"1524 5th Avenue Suite 300 Seattle, WA 98101 Strong Technology, LLC. 1920 McKinney Ave 7th Floor Dallas, TX, 75201 United States",,abuse@netprotect.com,,Netprotect.com Abuse,+1.4154087682,,NA6571-RIPE,vpn,,,this output has been filtered.,2020-02-11T15:29:42Z 2020-06-10T03:27:49Z 2020-01-31T02:39:32Z 2020-01-31T02:11:59Z,2.58.12.0/22,AS12989,ORG-STL132-RIPE,NA6571-RIPE STRG-RIPE,ORG-STL132-RIPE,"Strong Technology, LLC",OTHER,W2O-MNT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.58.12.90,2.58.12.0 - 2.58.13.255,NetProtect-Netherlands-Amsterdam,Netprotect abuse@netprotect.com,NA6571-RIPE STRG-RIPE,NA6571-RIPE STRG-RIPE,,NL,,W2O-MNT W2O-MNT W2O-MNT W2O-MNT,,ASSIGNED PA,2020-06-10T03:33:13Z 2020-06-10T03:27:49Z 2020-01-31T02:40:09Z 2020-01-31T02:12:03Z,RIPE RIPE # Filtered RIPE # Filtered RIPE,,"1524 5th Avenue Suite 300 Seattle, WA 98101 Strong Technology, LLC. 1920 McKinney Ave 7th Floor Dallas, TX, 75201 United States",,abuse@netprotect.com,,Netprotect.com Abuse,+1.4154087682,,NA6571-RIPE,vpn,,,this output has been filtered.,2020-02-11T15:29:42Z 2020-06-10T03:27:49Z 2020-01-31T02:39:32Z 2020-01-31T02:11:59Z,2.58.12.0/22,AS12989,ORG-STL132-RIPE,NA6571-RIPE STRG-RIPE,ORG-STL132-RIPE,"Strong Technology, LLC",OTHER,W2O-MNT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.58.12.108,2.58.12.0 - 2.58.13.255,NetProtect-Netherlands-Amsterdam,Netprotect abuse@netprotect.com,NA6571-RIPE STRG-RIPE,NA6571-RIPE STRG-RIPE,,NL,,W2O-MNT W2O-MNT W2O-MNT W2O-MNT,,ASSIGNED PA,2020-06-10T03:33:13Z 2020-06-10T03:27:49Z 2020-01-31T02:40:09Z 2020-01-31T02:12:03Z,RIPE RIPE # Filtered RIPE # Filtered RIPE,,"1524 5th Avenue Suite 300 Seattle, WA 98101 Strong Technology, LLC. 1920 McKinney Ave 7th Floor Dallas, TX, 75201 United States",,abuse@netprotect.com,,Netprotect.com Abuse,+1.4154087682,,NA6571-RIPE,vpn,,,this output has been filtered.,2020-02-11T15:29:42Z 2020-06-10T03:27:49Z 2020-01-31T02:39:32Z 2020-01-31T02:11:59Z,2.58.12.0/22,AS12989,ORG-STL132-RIPE,NA6571-RIPE STRG-RIPE,ORG-STL132-RIPE,"Strong Technology, LLC",OTHER,W2O-MNT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.58.12.114,2.58.12.0 - 2.58.13.255,NetProtect-Netherlands-Amsterdam,Netprotect abuse@netprotect.com,NA6571-RIPE STRG-RIPE,NA6571-RIPE STRG-RIPE,,NL,,W2O-MNT W2O-MNT W2O-MNT W2O-MNT,,ASSIGNED PA,2020-06-10T03:33:13Z 2020-06-10T03:27:49Z 2020-01-31T02:40:09Z 2020-01-31T02:12:03Z,RIPE RIPE # Filtered RIPE # Filtered RIPE,,"1524 5th Avenue Suite 300 Seattle, WA 98101 Strong Technology, LLC. 1920 McKinney Ave 7th Floor Dallas, TX, 75201 United States",,abuse@netprotect.com,,Netprotect.com Abuse,+1.4154087682,,NA6571-RIPE,vpn,,,this output has been filtered.,2020-02-11T15:29:42Z 2020-06-10T03:27:49Z 2020-01-31T02:39:32Z 2020-01-31T02:11:59Z,2.58.12.0/22,AS12989,ORG-STL132-RIPE,NA6571-RIPE STRG-RIPE,ORG-STL132-RIPE,"Strong Technology, LLC",OTHER,W2O-MNT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.58.12.126,2.58.12.0 - 2.58.13.255,NetProtect-Netherlands-Amsterdam,Netprotect abuse@netprotect.com,NA6571-RIPE STRG-RIPE,NA6571-RIPE STRG-RIPE,,NL,,W2O-MNT W2O-MNT W2O-MNT W2O-MNT,,ASSIGNED PA,2020-06-10T03:33:13Z 2020-06-10T03:27:49Z 2020-01-31T02:40:09Z 2020-01-31T02:12:03Z,RIPE RIPE # Filtered RIPE # Filtered RIPE,,"1524 5th Avenue Suite 300 Seattle, WA 98101 Strong Technology, LLC. 1920 McKinney Ave 7th Floor Dallas, TX, 75201 United States",,abuse@netprotect.com,,Netprotect.com Abuse,+1.4154087682,,NA6571-RIPE,vpn,,,this output has been filtered.,2020-02-11T15:29:42Z 2020-06-10T03:27:49Z 2020-01-31T02:39:32Z 2020-01-31T02:11:59Z,2.58.12.0/22,AS12989,ORG-STL132-RIPE,NA6571-RIPE STRG-RIPE,ORG-STL132-RIPE,"Strong Technology, LLC",OTHER,W2O-MNT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.58.12.132,2.58.12.0 - 2.58.13.255,NetProtect-Netherlands-Amsterdam,Netprotect abuse@netprotect.com,NA6571-RIPE STRG-RIPE,NA6571-RIPE STRG-RIPE,,NL,,W2O-MNT W2O-MNT W2O-MNT W2O-MNT,,ASSIGNED PA,2020-06-10T03:33:13Z 2020-06-10T03:27:49Z 2020-01-31T02:40:09Z 2020-01-31T02:12:03Z,RIPE RIPE # Filtered RIPE # Filtered RIPE,,"1524 5th Avenue Suite 300 Seattle, WA 98101 Strong Technology, LLC. 1920 McKinney Ave 7th Floor Dallas, TX, 75201 United States",,abuse@netprotect.com,,Netprotect.com Abuse,+1.4154087682,,NA6571-RIPE,vpn,,,this output has been filtered.,2020-02-11T15:29:42Z 2020-06-10T03:27:49Z 2020-01-31T02:39:32Z 2020-01-31T02:11:59Z,2.58.12.0/22,AS12989,ORG-STL132-RIPE,NA6571-RIPE STRG-RIPE,ORG-STL132-RIPE,"Strong Technology, LLC",OTHER,W2O-MNT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.58.12.138,2.58.12.0 - 2.58.13.255,NetProtect-Netherlands-Amsterdam,Netprotect abuse@netprotect.com,NA6571-RIPE STRG-RIPE,NA6571-RIPE STRG-RIPE,,NL,,W2O-MNT W2O-MNT W2O-MNT W2O-MNT,,ASSIGNED PA,2020-06-10T03:33:13Z 2020-06-10T03:27:49Z 2020-01-31T02:40:09Z 2020-01-31T02:12:03Z,RIPE RIPE # Filtered RIPE # Filtered RIPE,,"1524 5th Avenue Suite 300 Seattle, WA 98101 Strong Technology, LLC. 1920 McKinney Ave 7th Floor Dallas, TX, 75201 United States",,abuse@netprotect.com,,Netprotect.com Abuse,+1.4154087682,,NA6571-RIPE,vpn,,,this output has been filtered.,2020-02-11T15:29:42Z 2020-06-10T03:27:49Z 2020-01-31T02:39:32Z 2020-01-31T02:11:59Z,2.58.12.0/22,AS12989,ORG-STL132-RIPE,NA6571-RIPE STRG-RIPE,ORG-STL132-RIPE,"Strong Technology, LLC",OTHER,W2O-MNT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.58.12.144,2.58.12.0 - 2.58.13.255,NetProtect-Netherlands-Amsterdam,Netprotect abuse@netprotect.com,NA6571-RIPE STRG-RIPE,NA6571-RIPE STRG-RIPE,,NL,,W2O-MNT W2O-MNT W2O-MNT W2O-MNT,,ASSIGNED PA,2020-06-10T03:33:13Z 2020-06-10T03:27:49Z 2020-01-31T02:40:09Z 2020-01-31T02:12:03Z,RIPE RIPE # Filtered RIPE # Filtered RIPE,,"1524 5th Avenue Suite 300 Seattle, WA 98101 Strong Technology, LLC. 1920 McKinney Ave 7th Floor Dallas, TX, 75201 United States",,abuse@netprotect.com,,Netprotect.com Abuse,+1.4154087682,,NA6571-RIPE,vpn,,,this output has been filtered.,2020-02-11T15:29:42Z 2020-06-10T03:27:49Z 2020-01-31T02:39:32Z 2020-01-31T02:11:59Z,2.58.12.0/22,AS12989,ORG-STL132-RIPE,NA6571-RIPE STRG-RIPE,ORG-STL132-RIPE,"Strong Technology, LLC",OTHER,W2O-MNT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.58.12.150,2.58.12.0 - 2.58.13.255,NetProtect-Netherlands-Amsterdam,Netprotect abuse@netprotect.com,NA6571-RIPE STRG-RIPE,NA6571-RIPE STRG-RIPE,,NL,,W2O-MNT W2O-MNT W2O-MNT W2O-MNT,,ASSIGNED PA,2020-06-10T03:33:13Z 2020-06-10T03:27:49Z 2020-01-31T02:40:09Z 2020-01-31T02:12:03Z,RIPE RIPE # Filtered RIPE # Filtered RIPE,,"1524 5th Avenue Suite 300 Seattle, WA 98101 Strong Technology, LLC. 1920 McKinney Ave 7th Floor Dallas, TX, 75201 United States",,abuse@netprotect.com,,Netprotect.com Abuse,+1.4154087682,,NA6571-RIPE,vpn,,,this output has been filtered.,2020-02-11T15:29:42Z 2020-06-10T03:27:49Z 2020-01-31T02:39:32Z 2020-01-31T02:11:59Z,2.58.12.0/22,AS12989,ORG-STL132-RIPE,NA6571-RIPE STRG-RIPE,ORG-STL132-RIPE,"Strong Technology, LLC",OTHER,W2O-MNT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.58.12.168,2.58.12.0 - 2.58.13.255,NetProtect-Netherlands-Amsterdam,Netprotect abuse@netprotect.com,NA6571-RIPE STRG-RIPE,NA6571-RIPE STRG-RIPE,,NL,,W2O-MNT W2O-MNT W2O-MNT W2O-MNT,,ASSIGNED PA,2020-06-10T03:33:13Z 2020-06-10T03:27:49Z 2020-01-31T02:40:09Z 2020-01-31T02:12:03Z,RIPE RIPE # Filtered RIPE # Filtered RIPE,,"1524 5th Avenue Suite 300 Seattle, WA 98101 Strong Technology, LLC. 1920 McKinney Ave 7th Floor Dallas, TX, 75201 United States",,abuse@netprotect.com,,Netprotect.com Abuse,+1.4154087682,,NA6571-RIPE,vpn,,,this output has been filtered.,2020-02-11T15:29:42Z 2020-06-10T03:27:49Z 2020-01-31T02:39:32Z 2020-01-31T02:11:59Z,2.58.12.0/22,AS12989,ORG-STL132-RIPE,NA6571-RIPE STRG-RIPE,ORG-STL132-RIPE,"Strong Technology, LLC",OTHER,W2O-MNT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
